Lähdekansio;Tiedostonimi;Tunniste;Koko (KB);Luotu;Muokattu;Koko Tiedostopolku
Kesko vastaus 3.2.2026;.~lock.Huoltohistoria Excel.xlsx#;.xlsx#;0.1;2026-03-22 23:38:54;2026-03-20 16:39:40;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\.~lock.Huoltohistoria Excel.xlsx#
Kesko vastaus 3.2.2026;9952770c-3a65-4b93-b618-9e1b1e474aff-001_inquiry-3142967110339410666.pdf;.pdf;1007.06;2025-06-17 07:39:08;2025-06-17 12:05:37;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\9952770c-3a65-4b93-b618-9e1b1e474aff-001_inquiry-3142967110339410666.pdf
Kesko vastaus 3.2.2026;Asiakastiedot Kaprio K-Auto asiakkaat (1).pdf;.pdf;116.73;2026-02-03 10:55:50;2026-02-03 10:55:52;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Asiakastiedot Kaprio K-Auto asiakkaat (1).pdf
Kesko vastaus 3.2.2026;Asiakastiedot Kaprio K-Auto asiakkaat.pdf;.pdf;116.73;2026-03-22 23:38:54;2026-03-12 15:45:42;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Asiakastiedot Kaprio K-Auto asiakkaat.pdf
Kesko vastaus 3.2.2026;Asiakastiedot Kaprio K-Auto Keskitetty asiakastietokanta 3.2.2026.pdf;.pdf;254.37;2026-02-03 10:56:04;2026-02-03 10:56:06;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Asiakastiedot Kaprio K-Auto Keskitetty asiakastietokanta 3.2.2026.pdf
Kesko vastaus 3.2.2026;Asiakastiedot Kaprio K-Auto Retail asiakastietokanta.pdf;.pdf;134.66;2026-02-03 10:56:13;2026-02-03 10:56:15;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Asiakastiedot Kaprio K-Auto Retail asiakastietokanta.pdf
Kesko vastaus 3.2.2026;AUDI 15.2.2025 ja vikailmoitus.jpg;.jpg;104.43;2026-02-04 15:48:44;2026-02-04 15:48:45;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\AUDI 15.2.2025 ja vikailmoitus.jpg
Kesko vastaus 3.2.2026;Audi AG 200 sivua.pdf;.pdf;1007.06;2026-02-04 16:06:28;2026-02-04 16:06:30;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Audi AG 200 sivua.pdf
Kesko vastaus 3.2.2026;AUDI AG ja tiedonluovutus Suomeen.png;.png;182.95;2026-03-22 20:00:15;2026-03-22 20:00:16;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\AUDI AG ja tiedonluovutus Suomeen.png
Kesko vastaus 3.2.2026;Audi AG.pdf;.pdf;1007.06;2025-06-17 12:28:05;2025-06-17 12:05:37;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Audi AG.pdf
Kesko vastaus 3.2.2026;AUDI ja Poliisi rikosolmoitus Kirjallinen_vahvistus (1).pdf;.pdf;1.94;2026-03-22 13:55:04;2026-03-22 13:55:06;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\AUDI ja Poliisi rikosolmoitus Kirjallinen_vahvistus (1).pdf
Kesko vastaus 3.2.2026;AudiCaseHarvester.zip;.zip;185991.28;2026-03-23 11:11:49;2026-03-23 11:12:05;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\AudiCaseHarvester.zip
Kesko vastaus 3.2.2026;boot.ps1;.ps1;4.52;2026-03-22 22:38:54;2026-03-22 22:39:34;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\boot.ps1
Kesko vastaus 3.2.2026;credentials.json;.json;0.46;2026-03-22 22:31:40;2026-03-22 22:31:41;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\credentials.json
Kesko vastaus 3.2.2026;CRM-tiketit, lukuohje.docx;.docx;71.47;2026-03-22 23:38:54;2026-03-12 15:48:00;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\CRM-tiketit, lukuohje.docx
Kesko vastaus 3.2.2026;deep_scan.py;.py;2.08;2026-03-22 23:46:38;2026-03-22 23:46:38;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\deep_scan.py
Kesko vastaus 3.2.2026;Fennia ja hinaus RZS-139.pdf;.pdf;14.41;2026-02-04 16:40:20;2026-02-04 16:40:21;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\Fennia ja hinaus RZS-139.pdf
Kesko vastaus 3.2.2026;fetch_data.py;.py;3.15;2026-03-22 22:44:18;2026-03-22 23:39:42;C:\Users\HP\Desktop\Kesko vastaus 3.2.2026\fetch_data.py
