Tiedostonimi;Tunniste;Koko (KB);Muokattu;Polku;Status
Näyttökuva 2025-02-23 kello 17.57.54.png;.png;247.36;2025-02-23 17:58:04;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-23 kello 17.57.54.png;VALMIS
Santander Osamaksu Rami’s Auto.pdf;.pdf;143.52;2025-03-10 16:41:53;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Santander Osamaksu Rami’s Auto.pdf;VALMIS
Näyttökuva 2025-03-10 kello 22.09.18.png;.png;1693.75;2025-03-10 22:09:27;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-03-10 kello 22.09.18.png;VALMIS
PÖRHÖ Tietopyyntö 27 Hel.pdf;.pdf;42.13;2025-02-27 12:30:16;/Users/markuskaprio/Desktop/AUDI Oikeus Case/PÖRHÖ Tietopyyntö 27 Hel.pdf;VALMIS
Näyttökuva 2025-03-10 kello 22.16.11.png;.png;886.31;2025-03-10 22:16:16;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-03-10 kello 22.16.11.png;VALMIS
Näyttökuva 2025-02-25 kello 15.15.23.png;.png;535.18;2025-02-25 15:15:32;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-25 kello 15.15.23.png;VALMIS
Vastaus Pörhö Autoliike Oy 27.2.2025.pdf;.pdf;31.22;2025-02-27 15:32:33;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Vastaus Pörhö Autoliike Oy 27.2.2025.pdf;VALMIS
Näyttökuva 2025-02-20 kello 17.17.12.png;.png;8354.47;2025-02-20 17:17:16;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-20 kello 17.17.12.png;VALMIS
Näyttökuva 2025-02-23 kello 17.57.22.png;.png;352.45;2025-02-23 17:57:32;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-23 kello 17.57.22.png;VALMIS
HV_2Scalp.mq5;.mq5;44.93;2024-11-17 13:14:04;/Users/markuskaprio/Desktop/AUDI Oikeus Case/HV_2Scalp.mq5;VALMIS
Näyttökuva 2025-02-20 kello 17.16.40.png;.png;8311.59;2025-02-20 17:16:48;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-20 kello 17.16.40.png;VALMIS
Näyttökuva 2025-03-10 kello 22.01.30.png;.png;566.11;2025-03-10 22:01:42;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-03-10 kello 22.01.30.png;VALMIS
20250127085456236.pdf;.pdf;2095.61;2025-01-27 09:30:57;/Users/markuskaprio/Desktop/AUDI Oikeus Case/20250127085456236.pdf;VALMIS
Näyttökuva 2025-02-27 kello 16.15.14.png;.png;422.36;2025-02-27 16:15:29;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-27 kello 16.15.14.png;VALMIS
Näyttökuva 2025-02-23 kello 23.41.06.png;.png;1383.72;2025-02-23 23:41:13;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-23 kello 23.41.06.png;VALMIS
Näyttökuva 2025-02-27 kello 10.59.35.png;.png;251.68;2025-02-27 10:59:39;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-27 kello 10.59.35.png;VALMIS
Näyttökuva 2025-02-20 kello 16.22.07.png;.png;8863.98;2025-02-20 16:22:11;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-20 kello 16.22.07.png;VALMIS
Näyttökuva 2025-03-10 kello 22.01.12.png;.png;605.86;2025-03-10 22:01:18;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-03-10 kello 22.01.12.png;VALMIS
Näyttökuva 2025-02-23 kello 17.57.38.png;.png;303.67;2025-02-23 17:57:45;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-23 kello 17.57.38.png;VALMIS
Näyttökuva 2025-02-23 kello 17.58.18.png;.png;287.75;2025-02-23 17:58:24;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-23 kello 17.58.18.png;VALMIS
Vastaus Pörhö Autoliike Oy laiminlyöntiin.pdf;.pdf;64.68;2025-02-27 15:16:29;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Vastaus Pörhö Autoliike Oy laiminlyöntiin.pdf;VALMIS
Kauppakirja Rami’s Auto .pdf;.pdf;114.46;2025-03-10 16:42:19;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Kauppakirja Rami’s Auto .pdf;VALMIS
Näyttökuva 2025-02-20 kello 16.21.24.png;.png;608.26;2025-02-20 16:21:29;/Users/markuskaprio/Desktop/AUDI Oikeus Case/Näyttökuva 2025-02-20 kello 16.21.24.png;VALMIS
